,Artists,Songs,Rating,Votes,Difficulty,Chords
194,labrinth,jealous,4.85,1351,,"['F7', 'C', 'G', 'Bb7', 'F7b9', 'Eb', 'Fm7', 'Abmaj7', 'Cm', 'C7', 'Gbdim7', 'Ebmaj7', 'Ab', 'Bb', 'Bb7-9', 'Am', 'G7', 'Fm', 'F', 'Dm', 'Cm7', 'Db7-9']"
195,luis fonsi,despacito,4.80,1285,novice,"['G', 'Bm', 'A', 'D']"
196,bruno mars,count on me,4.81,1738,novice,"['C', 'Am', 'G', 'F', 'Dm', 'Em']"
197,avicii,wake me up,4.79,2270,novice,"['G', 'D', 'F#', 'Bm', 'A']"
198,nirvana,where did you sleep last night,4.83,1915,,"['G', 'B', 'A', 'E']"
199,john denver,take me home country roads,4.82,1815,intermediate,"['G', 'C', 'E', 'D', 'D7', 'F', 'E7', 'F#m', 'A', 'Em']"
200,chris tomlin,how great is our god,4.77,1163,,"['Em7', 'G', 'C', 'D', 'C2']"
201,chuck berry,johnny b goode,4.76,789,,"['F', 'Eb', 'Go', 'Bb']"
202,coldplay,fix you,4.73,1415,,"['C', 'Am', 'Cmaj7', 'G', 'F', 'C/G', 'Fmaj7']"
203,adam sandler,grow old with you,4.88,1537,,"['E', 'D', 'Bm', 'C#m', 'A7', 'A']"
204,misc christmas,jingle bells,4.71,1806,novice,"['G', 'C', 'Am', 'D', 'D7', 'A7']"
205,andmesh kamaleng,hanya rindu,4.88,243,novice,"['C', 'Am', 'G', 'E', 'D', 'Bm', 'F#m', 'A', 'G/B', 'Em']"
206,the killers,mr brightside,4.86,3930,,"['C', 'C/B', 'G', 'Am', 'F']"
207,one direction,what makes you beautiful,4.48,256,novice,"['B', 'A', 'E']"
208,owl city,fireflies,4.78,1644,novice,"['G', 'C', 'Am', 'D', 'F', 'Em']"
209,creedence clearwater revival,bad moon rising,4.84,6184,novice,"['G', 'A', 'D']"
210,judy garland,have yourself a merry little christmas,4.81,3151,,"['Em7', 'Bbdim', 'G', 'Cmaj7', 'Am', 'F#7', 'D', 'G7', 'D7', 'Bm', 'E7', 'Cm6', 'B7', 'A7', 'Am7', 'Em', 'Gmaj7']"
211,counting crows,mr jones,4.83,3034,,"['G', 'Am', 'C', 'F', 'Dm', 'Fmaj7']"
212,ellie goulding,your song,4.87,1925,novice,"['G', 'C', 'Am', 'D', 'G/F#', 'A', 'Em']"
213,the calling,wherever you will go,4.82,807,,"['C', 'Am', 'G', 'F', 'Em', 'Gadd11/B']"
214,sam smith,stay with me,4.81,926,novice,"['F', 'Am', 'G', 'C']"
215,parokya ni edgar,harana,4.62,297,,"['Esus', 'G', 'C', 'Am', 'E', 'D', 'Dsus', 'CM7', 'G7', 'Bm', 'Cadd9', 'A']"
216,eagle eye cherry,save tonight,4.75,1232,,"['F', 'Am', 'G', 'C']"
217,adele,rolling in the deep,4.79,2170,novice,"['G', 'Am', 'F', 'E7', 'Em', 'E7#5']"
218,wham,last christmas,4.76,1435,novice,"['Bm', 'A', 'Em', 'D']"
219,bryan adams,summer of 69,4.80,2688,novice,"['G', 'C', 'D', 'F', 'Bm', 'A', 'Bb']"
220,lana del rey,summertime sadness,4.86,2056,,"['F', 'Am', 'Dm', 'G']"
221,alan walker,faded,4.86,2074,,"['F', 'Am', 'G', 'C']"
222,toto,africa,4.82,1567,,"['D#7', 'B/F#', 'C#m7', 'B', 'E', 'D', 'A/E', 'C#m', 'F#m', 'G#m', 'A', 'D#m']"
223,onerepublic,apologize,4.82,2533,novice,"['F', 'Am', 'G', 'C']"
224,one direction,night changes,4.87,2283,novice,"['G', 'C', 'E', 'D', 'Bm', 'C#m', 'F#m', 'A', 'Em']"
225,coldplay,fix you,4.86,2715,intermediate,"['C', 'G', 'F', 'Am7', 'Em']"
226,misc praise songs,amazing grace,4.80,1399,,"['F7', 'G', 'C', 'Bb/F', 'D/A', 'E', 'D', 'D7', 'C7', 'F#m', 'A', 'Em', 'Bb', 'B', 'G7', 'C/D', 'Bb/C', 'F', 'Dm', 'E7', 'A7']"
227,anda,menghitung hari 2,4.88,149,,"['C', 'Am', 'G', 'Dm', 'Dm/C', 'G/B']"
228,misc soundtrack,a star is born always remember us this way,4.89,6305,novice,"['G', 'Am', 'C', 'F', 'Bb']"
229,justin bieber,sorry,4.84,1015,novice,"['F', 'Am', 'Dm', 'G']"
230,glen hansard,falling slowly,4.83,2060,novice,"['C', 'F', 'G', 'Am']"
231,darius rucker,wagon wheel,4.86,6228,novice,"['G', 'C', 'Em', 'D']"
232,adele,rolling in the deep,4.53,534,novice,"['G', 'Am', 'E', 'F', 'Em']"
233,adele,set fire to the rain,4.76,1744,,"['Am/B', 'G/A', 'C', 'Am', 'G', 'C/E', 'Dm', 'F', 'Em']"
234,katy perry,roar,4.78,1248,novice,"['Em7', 'G', 'Gsus2', 'Am', 'C', 'D', 'Gsus2/C', 'Gsus2/A', 'Em']"
235,adele,set fire to the rain,4.64,268,,"['C', 'Am', 'G', 'Gm', 'F/A', 'Dm', 'F', 'Bb']"
236,red hot chili peppers,under the bridge,4.48,322,,"['F7', 'B/F#', 'C', 'B', 'E', 'D', 'G6', 'F#', 'F', 'C#m', 'Emaj7', 'E7', 'F#m', 'G#m', 'Am7', 'A']"
237,the band perry,if i die young,4.74,542,,"['A6', 'G', 'D', 'Bm', 'A7', 'A']"
238,kodaline,high hopes,4.90,2183,,"['C', 'C/B', 'Am', 'G', 'F', 'E7']"
239,adele,all i ask,4.85,1211,,"['F/G', 'C', 'G', 'Bb7', 'C/G', 'Ab7/C', 'E', 'C/E', 'Ab7', 'Ab/C', 'Bbm7', 'Bb/D', 'G/B', 'Em', 'C/Bb', 'Dm7/G', 'E/G#', 'Am', 'E/B', 'G7', 'Gb/Ab', 'Db/F', 'Db', 'Dm7', 'Ab7sus4', 'F', 'Dm', 'A7/C#', 'G/F', 'A7', 'Ebm']"
240,coldplay,clocks,4.85,2128,,"['C', 'Am', 'Em/G', 'G', 'D', 'Fmaj7', 'Em']"
241,amy winehouse,back to black,4.85,3069,,"['Bb', 'Gm', 'Dm', 'F', 'A7', 'A', 'Bbmaj7']"
242,the beatles,while my guitar gently weeps,4.84,3877,,"['Dsus4', 'G', 'Am', 'F#m7b5', 'E', 'D', 'C', 'Am/G', 'C#m', 'Bm', 'Dsus2', 'Esus4', 'F#m', 'Fmaj7', 'A']"
243,u2,one,4.82,1902,,"['G', 'Am', 'C', 'Dsus2', 'Fmaj7']"
244,taylor swift,our song,4.87,1365,novice,"['Em7', 'Asus4', 'G', 'D', 'A', 'Em']"
245,ed sheeran,kiss me,4.88,1260,novice,"['G', 'A/D', 'D', 'Gm', 'Bm', 'A', 'Bb/A']"
246,milky chance,stolen dance,4.83,1146,novice,"['B', 'E', 'F#', 'D#', 'G#m']"
247,misc cartoons,aladdin a whole new world,4.75,976,,"['F7', 'F#7', 'G', 'C', 'Gm', 'F/Bb', 'F/A', 'Bm', 'Bbdim7', 'Gm7', 'D/G', 'Bm/A', 'Eb', 'Bbmaj7', 'C/E', 'D', 'F/C', 'D7', 'C7', 'D/F#', 'A', 'Em', 'Bb', 'Bm7', 'G7', 'A/C#', 'Dm/C', 'Dm7', 'Dsus4', 'Dbdim7', 'F', 'Dm', 'E7', 'Csus4', 'A7']"
248,ed sheeran,i see fire,4.83,1911,novice,"['C', 'Am', 'G', 'F', 'Dm', 'Em']"
249,bruno mars,talking to the moon,4.84,2602,novice,"['C', 'Am', 'G', 'D', 'F', 'Dm', 'E7', 'G/B']"
250,john denver,leaving on a jet plane,4.83,3280,,"['G', 'C', 'D']"
251,johnny cash,hurt,4.87,5434,novice,"['C', 'Am', 'G', 'D', 'F']"
252,leonard cohen,hallelujah,4.82,3237,novice,"['G', 'C', 'D', 'B7', 'Em']"
253,shawn mendes,treat you better,4.83,1362,intermediate,"['G', 'Am', 'C', 'F']"
254,josh groban,you raise me up,4.78,1040,,"['Asus4', 'G', 'B', 'Bb', 'E', 'D', 'C', 'Dm', 'Bm', 'D/F#', 'C#m', 'F', 'Bsus4', 'A', 'E/G#']"
255,ed sheeran,supermarket flowers,4.91,4788,novice,"['Dm7', 'C', 'Am', 'G', 'Fadd9', 'F', 'Dm', 'Em']"
256,neil young,heart of gold,4.76,3029,novice,"['Em7', 'C', 'G', 'D', 'Em']"
257,tab,188005,4.77,1313,,"['Bm7', 'F/G', 'Asus4', 'G', 'Cmaj7', 'C', 'D', 'Dsus', 'G7', 'F', 'D/F#', 'A', 'Em']"
258,a day to remember,if it means a lot to you,4.86,726,,"['C', 'Am', 'Fmaj', 'G']"
259,taylor swift,fifteen,4.85,857,,"['Em7', 'G', 'C', 'D', 'D/F#', 'Cadd9']"
260,queen,crazy little thing called love,4.69,839,,"['F7', 'G5', 'Dsus4', 'D5', 'C#5', 'A5', 'G', 'C', 'A', 'E', 'D', 'G#5', 'F#', 'E7', 'A7', 'C5', 'G/B', 'Bb']"
261,jason mraz,i wont give up,4.82,2259,,"['Bm7', 'Dsus4', 'Asus4', 'C#dim', 'G', 'C', 'D', 'Bm', 'Gmaj7', 'A', 'Em']"
262,demi lovato,let it go,4.75,1159,novice,"['G', 'C', 'Am', 'D', 'A', 'Em']"
263,the beatles,yesterday,4.86,7105,novice,"['Bm7', 'C', 'Am', 'G', 'E', 'G7', 'D7', 'F', 'Dm', 'E7', 'Dm6']"
264,hozier,take me to church,4.87,1967,,"['G', 'Am', 'C', 'D', 'B7', 'G/B', 'Em', 'Cm']"
265,john legend,all of me,4.85,3650,novice,"['C', 'Am', 'G', 'D', 'C/D', 'Em']"
266,mumford sons,the cave,4.85,2110,,"['C', 'Am', 'G', 'F']"
267,nirvana,the man who sold the world,4.77,1584,,"['C#', 'C', 'F', 'Dm', 'A']"
268,foo fighters,times like these,4.85,2590,,"['Em7', 'Dsus4', 'C', 'Am', 'D', 'Cadd9', 'Am7', 'Em']"
269,ruth b ,lost boy,4.84,662,novice,"['C', 'G/D', 'G', 'Am', 'D', 'G/B', 'Em']"
270,johnny cash,folsom prison blues,4.81,4209,novice,"['A', 'E7', 'E', 'B7']"
271,the animals,house of the rising sun,4.87,6838,novice,"['C', 'Am', 'E', 'D', 'F', 'Dm']"
272,coldplay,paradise,4.55,663,,"['C', 'Gm', 'F', 'Dm', 'Bm7b5', 'Bb']"
273,kings of leon,sex on fire,4.76,731,novice,"['A', 'C#m', 'E']"
274,scorpions,wind of change,4.84,1522,intermediate,"['G', 'Am', 'C', 'E', 'F', 'Dm']"
275,christina perri,a thousand years,4.72,1186,,"['Em7', 'Dsus4', 'G', 'Am', 'D', 'F#', 'D/F#', 'Cadd9', 'G/B', 'Em']"
276,alicia keys,if i aint got you,4.84,2378,novice,"['Bm7', 'Em7', 'G#dim', 'Cmaj7', 'D7', 'Am7', 'Gmaj7']"
277,fiersa besari,celengan rindu,4.82,157,,"['C', 'C/B', 'Am', 'C/E', 'Gm', 'G', 'F', 'Dm', 'Fm', 'A', 'G/B', 'Em', 'C/Bb', 'Bb']"
278,katy perry,firework,4.80,1373,novice,"['G', 'Am', 'C', 'D', 'Em']"
279,moonstar88,torete,4.86,308,,"['G', 'Bm', 'D', 'F#m']"
280,otis redding,sittin on the dock of the bay,4.81,3624,novice,"['G', 'C', 'E', 'D', 'F', 'B7', 'A']"
281,gnarls barkley,crazy,4.87,3679,novice,"['Cmaj7', 'Am', 'C', 'E', 'F', 'Esus4', 'A']"
282,travie mccoy,billionaire,3.78,127,,"['E', 'D', 'F#', 'A/G#', 'F#m', 'A']"
283,coldplay,the scientist,4.80,2270,,"['Bm7', 'Asus4', 'G', 'Dsus2/C#', 'A/D', 'D', 'A/E', 'Dsus2', 'Dmaj7', 'A', 'D6/9']"
284,rise against,hero of war,4.92,2213,,"['B', 'E', 'C#m', 'G#m', 'A']"
285,misc soundtrack,the greatest showman a million dreams,4.85,3863,,"['Em7', 'G', 'C', 'Am', 'B', 'D', 'D/F#', 'A', 'G/B', 'Em']"
286,john mayer,gravity,4.79,1413,,"['Gm/Bb', 'G', 'C', 'Am', 'D7', 'Ebmaj7', 'Am7']"
287,louis armstrong,what a wonderful world,4.81,1508,,"['D9', 'C', 'B7-5', 'F#dim7', 'Gm7', 'Bbmaj7', 'Bb6', 'C#', 'C/E', 'D7', 'C7', 'Bb', 'Am', 'Eb9', 'Gm/C', 'F6', 'Dm/F', 'F', 'Dm', 'C7b9', 'Gm/F', 'A7']"
288,pink floyd,comfortably numb,4.79,3574,novice,"['Asus4', 'Bsus2', 'G', 'C', 'C9', 'D', 'G/F#', 'G/B', 'Bm', 'Cadd9', 'A', 'Em']"
289,billie eilish,ocean eyes,4.88,5767,novice,"['C', 'G', 'Dsus2', 'G/B', 'Em']"
290,third eye blind,jumper,4.72,604,,"['G', 'B', 'C', 'E', 'D', 'Am', 'D11', 'Fmaj7', 'A']"
291,daniel caesar,best part,4.91,1962,novice,"['Am7', 'Gmaj7', 'Dmaj7', 'Bbmaj7']"
292,misc christmas,feliz navidad,4.79,2068,novice,"['G', 'C', 'Em', 'D']"
293,the rolling stones,wild horses,4.77,1013,,"['G', 'C', 'D', 'F/C', 'F', 'Bm', 'Am7']"
294,payung teduh,akad,4.80,580,novice,"['G', 'Am', 'C', 'E', 'D', 'Dm', 'Bm', 'A', 'Em']"
295,fourtwnty,zona nyaman,4.79,157,intermediate,"['C#', 'G', 'B', 'E', 'F#', 'E7', 'C#m', 'B7', 'G#m', 'A7', 'A', 'A7M']"
296,jack johnson,better together,4.77,1732,novice,"['C', 'C/B', 'Am', 'C/E', 'G', 'Dm/F', 'F', 'Am/G', 'Dm']"
297,lorde,royals,4.75,1382,novice,"['C', 'D', 'G']"
298,the beatles,all my loving,4.83,3616,intermediate,"['G', 'C', 'D', 'Bm', 'Bbaug', 'A7', 'A', 'Em']"
299,one direction,story of my life,4.68,768,,"['G', 'D', 'Bm', 'A', 'Em']"
300,james morrison,broken strings,4.86,1377,novice,"['C', 'Am', 'G', 'Dm', 'F', 'Em']"
301,celine dion,my heart will go on,4.70,369,,"['B', 'E', 'F', 'Fm', 'C#m', 'A', 'Ab', 'Eb', 'Db']"
302,shania twain,youre still the one,4.87,1297,novice,"['G', 'A', 'Em', 'D']"
303,pnk,fuckin perfect,4.82,903,,"['G', 'Em7', 'Cadd9', 'Dsus']"
304,jessie j,flashlight,4.81,1185,intermediate,"['C', 'F', 'Am', 'G']"
305,radiohead,creep,4.75,1516,,"['C', 'F', 'E', 'Fm']"
306,kansas,dust in the wind,4.63,572,intermediate,"['Dm7', 'Asus4', 'Asus2', 'C', 'Cmaj7', 'Am', 'G', 'Am/G', 'D/F#', 'Cadd9', 'G/B']"
307,bruno mars,grenade,4.83,716,,"['C', 'Am', 'E', 'F', 'Gmaj', 'Em']"
308,edward sharpe and the magnetic zeros,home,4.86,1332,novice,"['G', 'D', 'Bm', 'D/F#', 'A', 'Em']"
309,sam smith,lay me down,4.82,1652,,"['B', 'E/B', 'Aadd9', 'E', 'B/D#', 'D', 'B7sus2', 'C#m', 'F#m', 'A', 'A/B']"
310,the beatles,in my life,4.86,2837,intermediate,"['Esus2', 'A7/G', 'G', 'B', 'E', 'D', 'Dm', 'F#m', 'A']"
311,avenged sevenfold,dear god,4.74,685,,"['C', 'Am', 'Gm', 'F', 'Dm', 'A7', 'Bb']"
312,acdc,highway to hell,4.67,924,,"['Dsus4', 'D/A', 'G', 'E', 'D', 'D/F#', 'A']"
313,rey valera,kahit maputi na ang buhok ko,4.79,390,,"['Bm/G', 'G', 'Am', 'C', 'F#7', 'D', 'G7', 'E', 'Bm', 'Am/G', 'B7', 'Em']"
314,miley cyrus,wrecking ball,3.95,209,novice,"['G', 'F#sus4', 'D', 'F#', 'Bm', 'F#m', 'A', 'Em']"
315,5 seconds of summer,amnesia,4.72,1372,novice,"['C', 'F', 'G', 'Am']"
316,juan karlos labajo,buwan,4.76,483,,"['Em7', 'C', 'Am', 'G', 'D', 'G7', 'D7', 'Em']"
317,ed sheeran,the a team,4.86,4577,novice,"['G', 'C', 'Am', 'D', 'Em']"
318,guns n roses,patience,4.83,2821,,"['Dsus4', 'C', 'G', 'D', 'F', 'D/F#', 'Dsus2', 'A', 'Em']"
319,enrique iglesias,hero,4.70,333,,"['Dsus4', 'C2', 'G', 'C/E', 'D', 'D/F#', 'Gsus4', 'Em']"
320,amy winehouse,valerie,4.84,2507,novice,"['C', 'G', 'F', 'Dm', 'Em']"
321,neil diamond,sweet caroline,4.56,501,novice,"['A6', 'C#', 'E', 'D', 'F#', 'Bm', 'C#m', 'A']"
322,mr big,to be with you,4.76,674,,"['Asus2', 'G/A', 'G', 'B', 'E', 'D', 'E/F#', 'C#m', 'Cadd9', 'G/B', 'Em', 'E/G#']"
323,randy newman,youve got a friend in me,4.80,2766,intermediate,"['C', 'Am', 'G', 'Gaug', 'C9', 'B', 'D7', 'C7', 'G#7', 'E7', 'F', 'F#dim7', 'B7', 'Dm', 'A7', 'Em']"
324,misc christmas,silent night,4.80,4685,novice,"['G', 'C', 'G7', 'D', 'D7', 'Em']"
325,bruno mars,versace on the floor,4.71,141,novice,"['C', 'G', 'Gm7', 'D#m', 'Bb6', 'C#', 'C/E', 'D', 'F#', 'G/B', 'A', 'Em', 'Am', 'Fm', 'G#m', 'A#m', 'G#', 'F', 'Dm']"
326,david crowderband,how he loves,4.90,1658,,"['C', 'G', 'G/C', 'Fmaj7', 'Am7']"
327,fugees,killing me softly,4.81,2228,,"['Fmaj7#11', 'G', 'Am', 'C', 'E', 'D', 'D7', 'B7', 'Am7', 'A', 'Em']"
328,damien rice,the blowers daughter,4.87,1213,,"['Bsus2', 'C#', 'A#m', 'B', 'Aadd9', 'E', 'F#', 'Badd11', 'C#m', 'F#m', 'G#m', 'A', 'D#m']"
329,avril lavigne,complicated,4.80,916,novice,"['C', 'Gm', 'Dm', 'F', 'Bb']"
330,red hot chili peppers,under the bridge,4.84,2226,,"['G', 'B', 'E/B', 'Am', 'C', 'D', 'F#', 'F', 'C#m', 'Emaj7', 'F#m', 'G#m', 'A']"
331,rihanna,diamonds,4.50,522,novice,"['G', 'Bm', 'A', 'F#m']"
332,hillsong united,hosanna,4.72,449,,"['B', 'E', 'F#m7', 'C#m', 'F#m', 'A', 'G#m7', 'E/G#']"
333,daft punk,get lucky,4.73,305,novice,"['Bm', 'E', 'D', 'F#m']"
334,maroon 5,sunday morning,4.68,131,,"['Dm', 'C', 'G']"
335,the white stripes,seven nation army,4.71,822,,"['G', 'C', 'B', 'Am', 'E', 'A', 'Em']"
336,bob marley,redemption song,4.71,939,novice,"['G', 'C', 'Am', 'C/B', 'D', 'Em']"
337,ingrid michaelson,you and i,4.87,1120,novice,"['C', 'G', 'Am', 'E', 'D', 'F', 'E7']"
338,plain white ts,hey there delilah,4.70,961,novice,"['G', 'D', 'Bm', 'F#m', 'A']"
339,bryan adams,everything i do i do it for you,4.74,1195,intermediate,"['C', 'G', 'D', 'F', 'Dm', 'Fm', 'Eb', 'Bb']"
340,ed sheeran,shape of you,4.85,1886,novice,"['A', 'B', 'C#m', 'F#m']"
341,goo goo dolls,iris,4.73,759,,"['Bm7', 'G5', 'Asus4', 'Bm9', 'E', 'D', 'Dsus2', 'F#5']"
342,imagine dragons,demons,4.86,4940,novice,"['C', 'Am', 'G', 'F']"
343,demi lovato,skyscraper,4.31,185,novice,"['G', 'C', 'Am', 'D', 'Em']"
344,guns n roses,november rain,4.75,1286,,"['Ab', 'G', 'Am', 'C', 'F', 'Dm', 'Em', 'Eb', 'Bb']"
345,fourtwnty,fana merah jambu,4.92,246,novice,"['G', 'Am', 'E', 'D', 'G7', 'D7', 'Bm', 'E7', 'D/F#', 'Cadd9', 'Dsus2', 'Bbm', 'A7', 'Em', 'Cm']"
346,the beatles,help,4.84,1345,,"['A6', 'G', 'E', 'D', 'G/F#', 'Bm', 'C#m', 'F#m', 'Bm/A', 'A']"
347,the chainsmokers,closer,4.67,247,novice,"['C', 'Em', 'D']"
348,taylor swift,mean,4.81,1041,novice,"['G', 'C', 'D', 'Bm', 'A']"
349,oasis,wonderwall,4.80,773,novice,"['Dsus4', 'Em7', 'G', 'A7sus4', 'Dsus4/F#', 'Cadd9']"
350,misc soundtrack,the greatest showman never enough,4.87,3398,novice,"['G', 'C', 'Am', 'D', 'Em', 'Cm']"
351,adele,hello,4.84,1218,,"['G', 'C', 'D', 'Bm', 'Em']"
352,miley cyrus,the climb,4.68,610,,"['G', 'D', 'Bm', 'D/F#', 'F#m', 'A', 'Em']"
353,chris stapleton,tennessee whiskey,4.82,3220,novice,"['Bm', 'A', 'E', 'D']"
354,misc traditional,happy birthday,4.59,588,novice,"['A7', 'A', 'E', 'D']"
355,limp bizkit,behind blue eyes,4.78,1032,,"['Bm7', 'Asus2', 'G', 'C', 'E', 'D', 'Dsus2', 'A', 'Em']"
356,fiersa besari,waktu yang salah,4.71,41,novice,"['G', 'C', 'Am', 'E', 'D', 'G7', 'Bm', 'Em']"
357,the beatles,come together,4.73,2369,novice,"['G', 'G7', 'Dm', 'Bm', 'A7', 'A']"
358,bob dylan,like a rolling stone,4.85,1767,intermediate,"['Dm7', 'C', 'G', 'F', 'Em', 'Fmaj7/C']"
359,bob dylan,dont think twice its all right,4.88,4103,,"['C', 'Am', 'G', 'G7', 'D7', 'F', 'C7']"
360,arctic monkeys,mardy bum,4.87,1673,novice,"['G5', 'A5', 'G', 'B', 'E', 'D', 'F#', 'Bm', 'F#5', 'F#m', 'A', 'Em', 'G(2)']"
361,the script,for the first time,4.90,1017,novice,"['G', 'C', 'Em', 'D']"
362,billie eilish,when the partys over,4.86,5311,novice,"['G', 'Am', 'C', 'F#dim', 'F', 'Dm']"
363,ellie goulding,love me like you do,4.84,1105,,"['Bm7', 'Em7', 'Dsus4', 'G', 'C', 'Am', 'D', 'Cadd9', 'Em']"
364,auburn,perfect two,4.84,332,novice,"['G', 'C', 'Em', 'D']"
365,gotye,somebody that i used to know,4.74,753,novice,"['Dm', 'C', 'Bb']"
366,green day,boulevard of broken dreams,4.85,2380,,"['C#', 'G', 'C', 'D', 'D#', 'B7', 'A', 'Em']"
367,charlie puth,we dont talk anymore,4.83,1098,novice,"['F', 'Am', 'Em', 'G']"
368,maroon 5,this love,4.84,1362,,"['E7/G#', 'C', 'Am', 'E', 'G7', 'D', 'Dm', 'F', 'E7', 'Bdim7']"
369,shawn mendes,imagination,4.88,1090,intermediate,"['G', 'Am', 'C', 'Gm', 'F', 'Fm', 'Ab', 'Bb']"
370,eric clapton,wonderful tonight,4.84,3347,,"['G', 'C', 'D', 'D/F#', 'Em']"
371,queen,somebody to love,4.80,1147,,"['G', 'C', 'G/D', 'D', 'G7', 'D7', 'C7', 'F', 'D/F#', 'Fm', 'A7', 'Em']"
372,tom petty,free fallin,4.54,609,novice,"['A', 'E', 'D', 'Asus4']"
373,green day,21 guns,4.85,680,,"['C', 'C/E', 'Dm', 'F', 'A', 'Bb']"
374,ed sheeran,galway girl,4.87,2451,novice,"['G', 'C', 'D', 'Cadd9', 'Am7', 'Em']"
375,ben e king,stand by me,4.81,3022,novice,"['G', 'C', 'Em', 'D']"
376,taylor swift,white horse,4.84,1018,,"['C', 'G', 'Am', 'F', 'Gsus4', 'Bb']"
377,outkast,hey ya,4.48,302,,"['G', 'C', 'E', 'D']"
378,alessia cara,how far ill go,4.81,1594,novice,"['Dm7', 'C#', 'C', 'Am', 'G', 'Cmaj7', 'G#', 'A#m', 'F#', 'F', 'Fm', 'C#maj7', 'F#m']"
379,green day,wake me up when september ends,4.59,653,,"['G', 'C', 'D', 'G/F#', 'Bm', 'D/F#', 'Em', 'Cm']"
380,eddie vedder,society,4.85,2419,novice,"['G', 'Bm', 'A', 'D']"
381,avril lavigne,when youre gone,4.82,292,,"['C', 'G', 'Am', 'D', 'Em6', 'Bm', 'D/F#', 'B7', 'G/B', 'Em']"
382,edwin mccain,ill be,4.68,636,,"['Esus2', 'Esus', 'B', 'E', 'F#', 'A', 'F#/A#', 'G#m7', 'E/G#']"
383,the band,the weight,4.75,1760,,"['Dsus4', 'E', 'D', 'F#m7', 'C#m', 'A/G#', 'A']"
384,crowded house,dont dream its over,4.84,2742,,"['Asus2', 'A5', 'C7(sus2)', 'G', 'C', 'E', 'Am', 'F', 'Dm', 'Csus2', 'C7sus4', 'Bb']"
385,cage the elephant,cigarette daydreams,4.91,4629,intermediate,"['G', 'D', 'Bm', 'Dmaj7', 'F#m', 'A', 'Em']"
386,callalily,magbalik,4.85,168,,"['C#5', 'B', 'Eb5', 'E', 'F#', 'C#m', 'F#m', 'A', 'Eb']"
387,creedence clearwater revival,proud mary,4.73,1305,,"['C', 'F6', 'G', 'D', 'F', 'Bm', 'A']"
388,keane,somewhere only we know,4.68,497,,"['E', 'D', 'AM7/F#', 'Bm', 'C#m', 'F#m', 'A']"
389,coldplay,yellow,4.75,931,novice,"['C', 'Am', 'G', 'Gm', 'F']"
390,lil wayne,how to love,4.70,405,novice,"['G', 'Cmaj7', 'C', 'Gmaj7', 'Em', 'Cm']"
391,kahitna,cantik,4.91,161,,"['G', 'B', 'E', 'D', 'F#', 'Bm', 'C#m', 'F#m', 'G#m', 'A']"
392,eraserheads,with a smile,4.81,263,,"['G', 'Am', 'E', 'D', 'Bm', 'Eb', 'Bb']"
393,city and colour,the girl,4.84,1538,novice,"['G', 'Cmaj7', 'Gmaj7/D', 'G/F#', 'Em']"
